asn_number,po_number,item_number,schedule_line,supplier_id,shipped_qty,ship_date,expected_delivery_date,carrier,tracking_number,status,last_status_update
ASN00000510,4500000112,00040,0001,S100048,192,2026-05-26,2026-06-07,Supplier Truck,F1F761B2-59B,IN_TRANSIT,2026-05-27
ASN00000511,4500000112,00050,0001,S100048,4,2026-05-21,2026-06-04,Local Carrier,F46A74E1-34A,IN_TRANSIT,2026-05-23
ASN00000512,4500000112,00050,0002,S100048,1,2026-05-19,2026-06-15,UPS,9E6EB6D9-C76,IN_TRANSIT,2026-05-23
ASN00000513,4500000112,00050,0003,S100048,4,,2026-06-14,UPS,495A3147-734,PENDING_PICKUP,2026-05-23
ASN00000514,4500000113,00010,0002,S100014,24,2026-05-23,2026-05-30,Maersk,8DBDBCD5-411,IN_TRANSIT,2026-05-28
ASN00000515,4500000113,00030,0001,S100014,1,,2026-06-14,FedEx,2835670B-87D,PENDING_PICKUP,2026-05-27
ASN00000516,4500000113,00030,0003,S100014,6,2026-05-22,2026-06-06,Supplier Truck,6B76F900-C26,DELAYED,2026-05-26
ASN00000517,4500000114,00010,0002,S100028,719,2026-05-26,2026-06-09,FedEx,0BBA1402-582,IN_TRANSIT,2026-05-24
ASN00000518,4500000114,00010,0003,S100028,606,2026-05-21,2026-05-24,Local Carrier,F5FAAFC5-939,IN_TRANSIT,2026-05-28
ASN00000519,4500000115,00020,0001,S100014,1,2026-05-24,2026-06-07,DHL,B379548F-C87,DELIVERED,2026-05-24
ASN00000520,4500000115,00020,0003,S100014,9,,2026-06-10,Local Carrier,1EC5D8E4-F85,PENDING_PICKUP,2026-05-24
ASN00000521,4500000116,00010,0003,S100033,1,2026-05-19,2026-06-10,Local Carrier,9D97C5AB-8C1,IN_TRANSIT,2026-05-26
ASN00000522,4500000117,00010,0001,S100035,9,,2026-06-09,Maersk,C200D3B2-EB4,PENDING_PICKUP,2026-05-23
ASN00000523,4500000117,00010,0002,S100035,74,2026-05-23,2026-06-17,Local Carrier,5E4B59E9-3DF,DELAYED,2026-05-26
ASN00000524,4500000118,00010,0003,S100014,10,2026-05-20,2026-06-14,Maersk,94216316-CDF,CUSTOMS_HOLD,2026-05-28
ASN00000525,4500000118,00030,0001,S100014,5,2026-05-22,2026-06-12,Maersk,B8E89465-370,IN_TRANSIT,2026-05-24
ASN00000526,4500000118,00040,0001,S100014,8,2026-05-19,2026-05-26,DHL,5095993E-E1E,IN_TRANSIT,2026-05-24
ASN00000527,4500000118,00060,0001,S100014,15,2026-05-27,2026-06-23,Supplier Truck,FC5CCCF9-683,DELAYED,2026-05-28
ASN00000528,4500000118,00060,0002,S100014,22,2026-05-18,2026-06-03,Local Carrier,E554032F-931,IN_TRANSIT,2026-05-27
ASN00000529,4500000119,00010,0002,S100031,11,,2026-06-02,UPS,BB16DE0A-6C5,NOT_SHIPPED,2026-05-28
ASN00000530,4500000119,00020,0002,S100031,13,,2026-05-28,Maersk,A1EFE5F0-5CA,PENDING_PICKUP,2026-05-26
ASN00000531,4500000119,00030,0001,S100031,2,,2026-06-12,UPS,E62BAB1E-4DB,NOT_SHIPPED,2026-05-27
ASN00000532,4500000119,00040,0001,S100031,7,2026-05-22,2026-06-02,DHL,97A4DEBE-5BF,DELAYED,2026-05-25
ASN00000533,4500000119,00040,0003,S100031,12,2026-05-23,2026-05-30,Maersk,185B1F92-D2E,IN_TRANSIT,2026-05-28
ASN00000534,4500000120,00010,0002,S100024,16,,2026-06-13,Maersk,8190C7C0-8DD,PENDING_PICKUP,2026-05-27
ASN00000535,4500000120,00020,0001,S100024,69,2026-05-22,2026-06-07,Local Carrier,C20E0DB5-B6D,DELAYED,2026-05-27
ASN00000536,4500000120,00020,0002,S100024,88,2026-05-23,2026-06-24,UPS,2ED74FE4-962,DELAYED,2026-05-24
ASN00000537,4500000120,00020,0003,S100024,189,,2026-05-30,Local Carrier,9D4B9FF1-DF8,PENDING_PICKUP,2026-05-24
ASN00000538,4500000120,00030,0001,S100024,41,2026-05-22,2026-06-06,Supplier Truck,2D35F28E-26A,DELIVERED,2026-05-28
ASN00000539,4500000121,00010,0001,S100049,6,2026-05-27,2026-06-01,FedEx,E812A1C5-5EB,IN_TRANSIT,2026-05-27
ASN00000540,4500000121,00010,0003,S100049,5,,2026-06-02,Supplier Truck,E3B3B967-A9C,NOT_SHIPPED,2026-05-26
ASN00000541,4500000121,00020,0001,S100049,1,2026-05-25,2026-06-11,Local Carrier,B150A024-DCE,DELAYED,2026-05-23
ASN00000542,4500000121,00020,0002,S100049,3,2026-05-25,2026-06-08,UPS,B7529217-DE5,DELAYED,2026-05-27
ASN00000543,4500000121,00030,0002,S100049,4,,2026-06-09,UPS,B936B81F-17D,NOT_SHIPPED,2026-05-24
ASN00000544,4500000122,00010,0001,S100042,1,2026-05-21,2026-05-29,Supplier Truck,17A57CAF-9CF,IN_TRANSIT,2026-05-23
ASN00000545,4500000122,00010,0003,S100042,3,2026-05-23,2026-06-10,Maersk,96352788-6AB,DELIVERED,2026-05-28
ASN00000546,4500000122,00030,0001,S100042,88,,2026-06-16,Local Carrier,7F1DA02F-7F9,NOT_SHIPPED,2026-05-26
ASN00000547,4500000123,00020,0001,S100047,1,2026-05-26,2026-06-17,FedEx,FD5BF21F-055,DELAYED,2026-05-27
ASN00000548,4500000123,00030,0001,S100047,2,2026-05-25,2026-06-14,FedEx,40CB3B57-EE8,IN_TRANSIT,2026-05-23
ASN00000549,4500000123,00030,0002,S100047,25,2026-05-20,2026-06-18,UPS,1CB8764C-9FB,CUSTOMS_HOLD,2026-05-27
ASN00000550,4500000123,00050,0001,S100047,56,2026-05-22,2026-06-22,Supplier Truck,5C616AE3-4BA,CUSTOMS_HOLD,2026-05-28
ASN00000551,4500000124,00020,0001,S100042,23,2026-05-24,2026-06-03,DHL,44DD2BAA-D4E,IN_TRANSIT,2026-05-27
ASN00000552,4500000124,00030,0001,S100042,6,2026-05-19,2026-06-06,DHL,F2ABF327-033,IN_TRANSIT,2026-05-26
ASN00000553,4500000124,00030,0002,S100042,5,,2026-06-14,DHL,92AEC069-B2D,PENDING_PICKUP,2026-05-23
ASN00000554,4500000125,00020,0001,S100043,88,2026-05-22,2026-06-12,Local Carrier,332ECADD-6E9,IN_TRANSIT,2026-05-26
ASN00000555,4500000125,00030,0001,S100043,118,,2026-06-10,DHL,C252E436-BFC,PENDING_PICKUP,2026-05-25
ASN00000556,4500000125,00050,0003,S100043,4,2026-05-27,2026-05-24,UPS,254C2AAD-BAE,IN_TRANSIT,2026-05-23
ASN00000557,4500000125,00060,0001,S100043,4,,2026-05-30,Local Carrier,948FB104-F2F,NOT_SHIPPED,2026-05-24
ASN00000558,4500000125,00060,0003,S100043,10,,2026-06-10,UPS,CA893A93-29D,NOT_SHIPPED,2026-05-23
ASN00000559,4500000126,00010,0001,S100010,1,2026-05-28,2026-06-05,Local Carrier,20B0C800-81A,IN_TRANSIT,2026-05-24
ASN00000560,4500000126,00010,0003,S100010,1,2026-05-19,2026-06-09,Supplier Truck,63D7359D-367,DELAYED,2026-05-25
ASN00000561,4500000126,00020,0001,S100010,6,2026-05-24,2026-05-28,FedEx,4BD4AFBF-4C6,DELIVERED,2026-05-24
ASN00000562,4500000126,00020,0002,S100010,20,,2026-06-02,Supplier Truck,E9C049A9-E92,NOT_SHIPPED,2026-05-25
ASN00000563,4500000126,00030,0001,S100010,12,2026-05-26,2026-06-04,DHL,6C18642E-D22,IN_TRANSIT,2026-05-26
ASN00000564,4500000126,00030,0002,S100010,6,,2026-06-01,Local Carrier,9EC673F8-2B3,NOT_SHIPPED,2026-05-28
ASN00000565,4500000127,00010,0001,S100038,1,2026-05-25,2026-06-12,UPS,8CEBF15D-591,IN_TRANSIT,2026-05-26
ASN00000566,4500000127,00010,0002,S100038,56,2026-05-18,2026-05-26,Supplier Truck,F65C4779-381,IN_TRANSIT,2026-05-25
ASN00000567,4500000127,00040,0001,S100038,538,,2026-05-29,Supplier Truck,09E7E2C3-1C3,NOT_SHIPPED,2026-05-24
ASN00000568,4500000127,00050,0002,S100038,2,2026-05-19,2026-05-26,Local Carrier,4A644C99-8CB,IN_TRANSIT,2026-05-27
ASN00000569,4500000127,00050,0003,S100038,3,2026-05-19,2026-06-07,Supplier Truck,CA9EC593-83B,DELIVERED,2026-05-27
ASN00000570,4500000127,00060,0002,S100038,335,,2026-05-29,Supplier Truck,270D0CE3-565,PENDING_PICKUP,2026-05-26
ASN00000571,4500000127,00070,0001,S100038,1,,2026-05-27,Maersk,F2436C89-4BC,NOT_SHIPPED,2026-05-27
ASN00000572,4500000127,00070,0003,S100038,7,,2026-05-25,DHL,224E9500-F87,PENDING_PICKUP,2026-05-28
ASN00000573,4500000128,00010,0002,S100018,1,2026-05-26,2026-06-17,DHL,76089752-590,IN_TRANSIT,2026-05-28
ASN00000574,4500000129,00010,0003,S100043,72,2026-05-28,2026-06-09,UPS,F1348FB4-7CF,IN_TRANSIT,2026-05-27
ASN00000575,4500000129,00020,0001,S100043,5,2026-05-19,2026-06-13,FedEx,3DF1987A-E1F,IN_TRANSIT,2026-05-28
ASN00000576,4500000129,00030,0001,S100043,3,2026-05-20,2026-06-09,Local Carrier,C551E8C0-C91,IN_TRANSIT,2026-05-25
ASN00000577,4500000130,00010,0001,S100003,358,2026-05-18,2026-06-07,FedEx,3DE2C151-1E4,DELAYED,2026-05-23
ASN00000578,4500000130,00020,0001,S100003,1,,2026-05-26,DHL,1A92ACA7-10B,NOT_SHIPPED,2026-05-27
ASN00000579,4500000130,00020,0003,S100003,2,2026-05-28,2026-05-26,Supplier Truck,71393E07-E02,DELIVERED,2026-05-26
ASN00000580,4500000130,00030,0001,S100003,6,,2026-06-08,DHL,C7B68517-64E,NOT_SHIPPED,2026-05-25
ASN00000581,4500000131,00010,0001,S100002,27,2026-05-19,2026-05-26,Local Carrier,AD83ADE1-6FD,DELIVERED,2026-05-27
ASN00000582,4500000132,00010,0001,S100025,21,,2026-06-15,FedEx,9DF37986-04D,PENDING_PICKUP,2026-05-24
ASN00000583,4500000132,00010,0002,S100025,73,2026-05-21,2026-06-10,Supplier Truck,B958C9CA-010,DELIVERED,2026-05-25
ASN00000584,4500000132,00020,0001,S100025,148,,2026-06-17,UPS,9A6335E7-69D,PENDING_PICKUP,2026-05-28
ASN00000585,4500000132,00020,0002,S100025,262,2026-05-19,2026-06-16,Supplier Truck,6108A556-FC1,DELAYED,2026-05-25
ASN00000586,4500000132,00020,0003,S100025,516,2026-05-28,2026-05-25,DHL,46E54E59-F6E,DELIVERED,2026-05-28
ASN00000587,4500000132,00030,0001,S100025,12,,2026-06-17,Supplier Truck,DCCCF3F8-758,NOT_SHIPPED,2026-05-25
ASN00000588,4500000132,00030,0002,S100025,37,2026-05-21,2026-06-14,DHL,AAFBA225-E15,IN_TRANSIT,2026-05-24
ASN00000589,4500000132,00040,0001,S100025,993,2026-05-23,2026-05-27,Local Carrier,96A56106-097,IN_TRANSIT,2026-05-25
ASN00000590,4500000132,00050,0001,S100025,4,,2026-05-25,DHL,9417BF3D-6EA,PENDING_PICKUP,2026-05-27
ASN00000591,4500000132,00060,0001,S100025,192,2026-05-20,2026-06-07,Supplier Truck,E4FC89A2-577,IN_TRANSIT,2026-05-23
ASN00000592,4500000132,00070,0001,S100025,1,,2026-06-06,Local Carrier,3D0AA97A-265,NOT_SHIPPED,2026-05-28
ASN00000593,4500000132,00070,0002,S100025,1,2026-05-27,2026-06-13,DHL,C81B1FB8-30B,CUSTOMS_HOLD,2026-05-25
ASN00000594,4500000132,00070,0003,S100025,3,2026-05-21,2026-06-10,Maersk,6CB7AA10-B41,DELIVERED,2026-05-26
ASN00000595,4500000133,00010,0001,S100035,23,2026-05-26,2026-06-09,Supplier Truck,809EC4EA-951,IN_TRANSIT,2026-05-27
ASN00000596,4500000133,00020,0001,S100035,50,2026-05-22,2026-06-10,Maersk,7F020ED2-C12,CUSTOMS_HOLD,2026-05-26
ASN00000597,4500000133,00020,0002,S100035,10,2026-05-21,2026-05-30,UPS,608AAE41-D20,IN_TRANSIT,2026-05-25
ASN00000598,4500000133,00020,0003,S100035,34,2026-05-18,2026-06-05,DHL,8B1338DB-5C0,DELAYED,2026-05-23
ASN00000599,4500000133,00030,0001,S100035,58,,2026-06-08,UPS,88D92704-061,PENDING_PICKUP,2026-05-25
ASN00000600,4500000133,00030,0003,S100035,57,2026-05-25,2026-06-14,FedEx,790E0E42-EE8,DELAYED,2026-05-26
ASN00000601,4500000133,00040,0001,S100035,34,2026-05-25,2026-06-11,Maersk,F9CF0780-E6F,IN_TRANSIT,2026-05-23
ASN00000602,4500000133,00050,0001,S100035,1,2026-05-28,2026-06-14,DHL,090E052E-2A7,IN_TRANSIT,2026-05-24
ASN00000603,4500000133,00050,0002,S100035,25,2026-05-21,2026-06-04,UPS,7D859A20-40D,DELIVERED,2026-05-28
ASN00000604,4500000133,00050,0003,S100035,20,2026-05-21,2026-05-24,Supplier Truck,7F5345E6-49A,IN_TRANSIT,2026-05-26
ASN00000605,4500000133,00060,0001,S100035,165,2026-05-18,2026-06-12,FedEx,08841BFE-5C7,DELAYED,2026-05-24
ASN00000606,4500000134,00020,0002,S100022,17,2026-05-24,2026-05-26,FedEx,D27C66E0-306,DELIVERED,2026-05-25
ASN00000607,4500000136,00010,0001,S100009,25,,2026-06-02,FedEx,BD12A5BA-F58,NOT_SHIPPED,2026-05-27
ASN00000608,4500000136,00010,0002,S100009,19,2026-05-28,2026-06-08,Local Carrier,42F4F1FB-D77,DELAYED,2026-05-23
ASN00000609,4500000136,00020,0003,S100009,10,,2026-06-12,Supplier Truck,25CC4A9E-546,PENDING_PICKUP,2026-05-23
ASN00000610,4500000137,00010,0001,S100050,1110,,2026-05-27,FedEx,70ABA573-DD9,PENDING_PICKUP,2026-05-26
ASN00000611,4500000138,00020,0002,S100050,94,2026-05-23,2026-06-04,Supplier Truck,336DB5DC-029,DELAYED,2026-05-28
ASN00000612,4500000138,00030,0001,S100050,348,2026-05-28,2026-06-06,Maersk,7CE43F21-A05,IN_TRANSIT,2026-05-28
ASN00000613,4500000138,00050,0001,S100050,4,,2026-06-05,Local Carrier,36298207-4D2,PENDING_PICKUP,2026-05-28
ASN00000614,4500000139,00010,0001,S100003,43,2026-05-18,2026-05-25,Local Carrier,5141C3D1-D64,IN_TRANSIT,2026-05-28
ASN00000615,4500000139,00020,0001,S100003,650,2026-05-27,2026-06-03,Supplier Truck,64C02524-BEE,IN_TRANSIT,2026-05-24
ASN00000616,4500000139,00030,0001,S100003,73,,2026-05-28,Local Carrier,42C82B4B-B6E,PENDING_PICKUP,2026-05-24
ASN00000617,4500000140,00010,0001,S100002,67,,2026-05-27,UPS,AA62CA42-759,PENDING_PICKUP,2026-05-27
ASN00000618,4500000140,00020,0002,S100002,405,2026-05-20,2026-05-29,FedEx,ECA7E556-AA1,IN_TRANSIT,2026-05-28
ASN00000619,4500000140,00030,0001,S100002,22,,2026-06-03,UPS,CAA36EC1-5A3,PENDING_PICKUP,2026-05-27
ASN00000620,4500000140,00040,0001,S100002,2,2026-05-26,2026-06-01,DHL,CDA53185-964,DELIVERED,2026-05-25
ASN00000621,4500000141,00010,0001,S100039,4,2026-05-21,2026-06-03,Local Carrier,32B5DECD-917,DELIVERED,2026-05-24
ASN00000622,4500000141,00020,0001,S100039,17,,2026-06-03,Local Carrier,CEFD5A3D-BAC,CANCELLED,2026-05-28
ASN00000623,4500000141,00060,0001,S100039,98,2026-05-25,2026-06-11,Supplier Truck,C7A19057-A12,DELAYED,2026-05-27
ASN00000624,4500000142,00010,0001,S100028,14,,2026-06-07,Supplier Truck,EE952462-27B,NOT_SHIPPED,2026-05-25
ASN00000625,4500000142,00010,0002,S100028,21,,2026-06-08,UPS,FCC26054-603,PENDING_PICKUP,2026-05-26
ASN00000626,4500000142,00020,0001,S100028,2,,2026-05-31,Supplier Truck,080A787B-4CE,PENDING_PICKUP,2026-05-27
ASN00000627,4500000143,00010,0001,S100004,8,,2026-06-14,Supplier Truck,BAFE5686-C83,PENDING_PICKUP,2026-05-24
ASN00000628,4500000143,00040,0001,S100004,3,2026-05-22,2026-06-01,Maersk,0F0EDF71-8AA,IN_TRANSIT,2026-05-23
ASN00000629,4500000143,00040,0002,S100004,1,2026-05-24,2026-06-08,UPS,DFC756CD-F73,DELAYED,2026-05-23
ASN00000630,4500000144,00010,0002,S100027,1,2026-05-24,2026-05-26,DHL,4D511DB8-CB0,IN_TRANSIT,2026-05-23
ASN00000631,4500000144,00030,0001,S100027,74,,2026-06-06,Supplier Truck,3777510B-DBB,NOT_SHIPPED,2026-05-26
ASN00000632,4500000144,00040,0001,S100027,213,,2026-06-06,Local Carrier,BBEF0E90-852,NOT_SHIPPED,2026-05-25
ASN00000633,4500000144,00050,0001,S100027,223,2026-05-28,2026-06-11,Local Carrier,3F703CC2-935,DELIVERED,2026-05-28
ASN00000634,4500000144,00060,0002,S100027,531,2026-05-18,2026-06-07,FedEx,D225965A-D54,IN_TRANSIT,2026-05-26
ASN00000635,4500000145,00010,0002,S100003,2,2026-05-23,2026-06-03,Maersk,C600E35C-E69,DELAYED,2026-05-24
ASN00000636,4500000145,00020,0002,S100003,3,2026-05-22,2026-06-17,Maersk,D436939C-9FB,IN_TRANSIT,2026-05-27
ASN00000637,4500000145,00040,0002,S100003,3,2026-05-24,2026-06-15,Supplier Truck,2138C7C0-7BA,DELIVERED,2026-05-28
ASN00000638,4500000145,00040,0003,S100003,6,2026-05-21,2026-06-17,DHL,C1159E36-B66,DELIVERED,2026-05-28
ASN00000639,4500000145,00060,0002,S100003,1,,2026-06-14,DHL,D49061BD-62B,PENDING_PICKUP,2026-05-27
ASN00000640,4500000147,00030,0001,S100008,16,2026-05-20,2026-06-15,Local Carrier,63130997-B13,DELIVERED,2026-05-27
ASN00000641,4500000147,00030,0002,S100008,5,2026-05-27,2026-06-08,UPS,D0B37972-DF7,IN_TRANSIT,2026-05-27
ASN00000642,4500000147,00030,0003,S100008,12,2026-05-23,2026-06-03,UPS,D4192367-57D,DELIVERED,2026-05-28
ASN00000643,4500000147,00040,0001,S100008,19,,2026-05-30,Local Carrier,FC7996E1-954,PENDING_PICKUP,2026-05-27
ASN00000644,4500000147,00040,0003,S100008,25,2026-05-20,2026-06-09,FedEx,BB1527A9-811,CUSTOMS_HOLD,2026-05-23
ASN00000645,4500000148,00060,0001,S100044,274,2026-05-27,2026-06-14,UPS,955BB90F-DCD,IN_TRANSIT,2026-05-26
ASN00000646,4500000149,00010,0001,S100006,14,2026-05-19,2026-06-08,DHL,B5BE702F-542,IN_TRANSIT,2026-05-27
ASN00000647,4500000150,00010,0001,S100011,1,2026-05-19,2026-06-12,Supplier Truck,33DDAB62-A0D,IN_TRANSIT,2026-05-23
ASN00000648,4500000150,00040,0002,S100011,33,2026-05-21,2026-06-20,Maersk,750CD663-072,DELAYED,2026-05-25
ASN00000649,4500000150,00040,0003,S100011,104,2026-05-21,2026-06-23,DHL,DB7F243A-442,DELAYED,2026-05-27
ASN00000650,4500000151,00020,0001,S100003,1,,2026-06-04,Supplier Truck,FBC81E78-623,NOT_SHIPPED,2026-05-23
ASN00000651,4500000151,00020,0002,S100003,1,2026-05-20,2026-05-29,Local Carrier,F44D0F62-806,IN_TRANSIT,2026-05-24
ASN00000652,4500000152,00020,0001,S100015,273,2026-05-26,2026-06-08,FedEx,7101D401-AFA,IN_TRANSIT,2026-05-25
ASN00000653,4500000152,00020,0002,S100015,285,2026-05-27,2026-06-11,FedEx,A763E713-BC2,IN_TRANSIT,2026-05-27
ASN00000654,4500000152,00030,0002,S100015,242,2026-05-24,2026-06-11,Supplier Truck,80EF3337-29A,IN_TRANSIT,2026-05-27
ASN00000655,4500000152,00040,0002,S100015,411,,2026-05-28,Maersk,411A2BA6-B37,PENDING_PICKUP,2026-05-23
ASN00000656,4500000152,00050,0001,S100015,7,,2026-06-15,Supplier Truck,E735FBCB-DDA,NOT_SHIPPED,2026-05-23
ASN00000657,4500000152,00050,0002,S100015,42,2026-05-28,2026-05-25,Local Carrier,2051C47D-B1E,IN_TRANSIT,2026-05-24
ASN00000658,4500000153,00010,0001,S100022,103,2026-05-24,2026-06-12,DHL,B316A118-E6C,DELAYED,2026-05-27
ASN00000659,4500000153,00010,0002,S100022,332,2026-05-26,2026-06-16,DHL,F8F5EE46-D6B,IN_TRANSIT,2026-05-24
ASN00000660,4500000154,00010,0001,S100034,151,2026-05-25,2026-05-29,Local Carrier,AD33CC91-963,IN_TRANSIT,2026-05-28
ASN00000661,4500000154,00020,0001,S100034,122,2026-05-25,2026-05-24,DHL,7786D7FA-CF2,DELIVERED,2026-05-24
ASN00000662,4500000154,00040,0003,S100034,60,2026-05-19,2026-05-28,DHL,EADE1A05-ED9,IN_TRANSIT,2026-05-27
ASN00000663,4500000154,00050,0002,S100034,228,,2026-06-10,Supplier Truck,C93F22D2-C37,PENDING_PICKUP,2026-05-23
ASN00000664,4500000154,00050,0003,S100034,525,2026-05-23,2026-06-15,Supplier Truck,0818FBBE-B7D,IN_TRANSIT,2026-05-25
ASN00000665,4500000154,00060,0001,S100034,62,2026-05-21,2026-06-02,Supplier Truck,6F054015-D7B,IN_TRANSIT,2026-05-27
ASN00000666,4500000155,00010,0002,S100037,6,2026-05-24,2026-06-08,DHL,06471B71-3AF,IN_TRANSIT,2026-05-25
ASN00000667,4500000155,00020,0002,S100037,8,2026-05-20,2026-06-14,Local Carrier,49CBF13E-311,DELAYED,2026-05-27
ASN00000668,4500000157,00010,0001,S100039,52,2026-05-18,2026-06-04,UPS,CEAFAD61-88E,DELAYED,2026-05-25
ASN00000669,4500000157,00010,0002,S100039,217,2026-05-24,2026-06-06,Local Carrier,B9FBF90F-AE1,DELIVERED,2026-05-27
ASN00000670,4500000157,00030,0001,S100039,15,,2026-06-06,UPS,C9928BAB-8BF,PENDING_PICKUP,2026-05-26
ASN00000671,4500000158,00010,0001,S100044,9,2026-05-20,2026-05-30,Maersk,657CC683-BB1,DELIVERED,2026-05-25
ASN00000672,4500000158,00010,0002,S100044,7,,2026-06-03,Supplier Truck,056FA7AE-E45,PENDING_PICKUP,2026-05-26
ASN00000673,4500000158,00020,0002,S100044,132,,2026-06-05,FedEx,AB44C572-5E7,PENDING_PICKUP,2026-05-23
ASN00000674,4500000159,00010,0001,S100040,54,2026-05-18,2026-06-07,DHL,0F15A405-761,CUSTOMS_HOLD,2026-05-28
ASN00000675,4500000159,00020,0001,S100040,1,2026-05-21,2026-05-29,Maersk,76BC692C-EEE,DELIVERED,2026-05-27
ASN00000676,4500000159,00020,0002,S100040,8,2026-05-20,2026-06-09,Maersk,A2235E9A-62A,CUSTOMS_HOLD,2026-05-24
ASN00000677,4500000159,00030,0002,S100040,17,,2026-05-31,FedEx,9B33C3B9-81A,NOT_SHIPPED,2026-05-24
ASN00000678,4500000160,00010,0001,S100050,29,2026-05-19,2026-06-24,Supplier Truck,408D26AA-D2D,DELAYED,2026-05-27
ASN00000679,4500000161,00010,0001,S100050,1018,2026-05-19,2026-06-06,FedEx,4011A2E5-0E4,DELAYED,2026-05-23
ASN00000680,4500000161,00020,0001,S100050,2,,2026-06-01,Supplier Truck,98C72775-E5A,NOT_SHIPPED,2026-05-28
ASN00000681,4500000161,00040,0002,S100050,1,,2026-05-24,Local Carrier,D161EFC6-788,PENDING_PICKUP,2026-05-23
ASN00000682,4500000161,00050,0001,S100050,11,2026-05-20,2026-06-08,FedEx,FD01E08F-A56,IN_TRANSIT,2026-05-27
ASN00000683,4500000162,00010,0001,S100046,1,2026-05-26,2026-06-10,DHL,7FEB7795-59E,IN_TRANSIT,2026-05-28
ASN00000684,4500000162,00020,0001,S100046,14,2026-05-22,2026-06-16,UPS,57F420F3-7EE,IN_TRANSIT,2026-05-25
ASN00000685,4500000162,00030,0001,S100046,740,,2026-05-28,Supplier Truck,75ED3C7B-818,NOT_SHIPPED,2026-05-24
ASN00000686,4500000162,00040,0002,S100046,2,2026-05-19,2026-06-01,UPS,D57E1746-829,DELIVERED,2026-05-26
ASN00000687,4500000162,00040,0003,S100046,3,,2026-06-12,Maersk,AF2F87A7-7E8,NOT_SHIPPED,2026-05-25
ASN00000688,4500000162,00050,0001,S100046,1,2026-05-18,2026-06-15,UPS,091EFA83-78E,IN_TRANSIT,2026-05-23
ASN00000689,4500000163,00010,0002,S100042,465,2026-05-21,2026-06-02,FedEx,26BAC30E-22A,IN_TRANSIT,2026-05-23
ASN00000690,4500000163,00020,0002,S100042,51,2026-05-20,2026-06-09,FedEx,9A2FD82E-FC3,IN_TRANSIT,2026-05-27
ASN00000691,4500000163,00030,0003,S100042,138,2026-05-20,2026-06-09,FedEx,D977F187-86F,IN_TRANSIT,2026-05-24
ASN00000692,4500000163,00040,0001,S100042,1111,2026-05-25,2026-06-05,FedEx,A96855E0-92F,IN_TRANSIT,2026-05-23
ASN00000693,4500000164,00020,0001,S100004,7,,2026-06-01,UPS,DF1DC77C-7A0,PENDING_PICKUP,2026-05-23
ASN00000694,4500000164,00020,0003,S100004,11,,2026-06-16,Supplier Truck,96A50AD2-C59,PENDING_PICKUP,2026-05-25
ASN00000695,4500000164,00030,0001,S100004,1,,2026-05-26,DHL,0188509C-C29,NOT_SHIPPED,2026-05-24
ASN00000696,4500000164,00030,0002,S100004,7,2026-05-20,2026-06-09,Supplier Truck,CEC85228-C3D,IN_TRANSIT,2026-05-26
ASN00000697,4500000164,00030,0003,S100004,24,2026-05-21,2026-06-03,FedEx,5538F6ED-94E,DELIVERED,2026-05-27
ASN00000698,4500000164,00040,0001,S100004,36,2026-05-22,2026-06-04,Maersk,5FD2CC97-241,DELIVERED,2026-05-27
ASN00000699,4500000164,00040,0002,S100004,168,2026-05-21,2026-05-25,Local Carrier,F2C04D44-E7D,DELIVERED,2026-05-26
ASN00000700,4500000164,00050,0001,S100004,528,2026-05-27,2026-05-30,Maersk,A63F66BB-3CF,IN_TRANSIT,2026-05-27
ASN00000701,4500000164,00050,0002,S100004,619,2026-05-28,2026-05-31,Supplier Truck,B40465CF-463,IN_TRANSIT,2026-05-27
ASN00000702,4500000164,00060,0001,S100004,152,2026-05-21,2026-06-13,Supplier Truck,E29B56FB-D79,DELAYED,2026-05-25
ASN00000703,4500000164,00060,0003,S100004,317,2026-05-23,2026-06-08,Supplier Truck,65506417-85B,IN_TRANSIT,2026-05-25
ASN00000704,4500000165,00010,0002,S100021,31,,2026-05-29,Local Carrier,D661BD91-EC8,CANCELLED,2026-05-23
ASN00000705,4500000165,00020,0003,S100021,1,2026-05-27,2026-06-11,Maersk,5BB2C7A3-B73,DELIVERED,2026-05-27
ASN00000706,4500000165,00030,0001,S100021,515,2026-05-28,2026-05-25,FedEx,AE530BE6-493,IN_TRANSIT,2026-05-24
ASN00000707,4500000166,00020,0001,S100045,4,2026-05-25,2026-06-23,Local Carrier,4798F371-2A1,CUSTOMS_HOLD,2026-05-26
ASN00000708,4500000166,00020,0002,S100045,4,2026-05-28,2026-06-08,Maersk,770B4091-C29,DELAYED,2026-05-28
ASN00000709,4500000167,00010,0001,S100046,74,,2026-05-29,Supplier Truck,3A09463B-041,NOT_SHIPPED,2026-05-28
ASN00000710,4500000167,00020,0001,S100046,7,,2026-05-25,Local Carrier,84B6A127-2FB,PENDING_PICKUP,2026-05-27
ASN00000711,4500000167,00030,0002,S100046,345,,2026-06-16,Maersk,779F592C-642,NOT_SHIPPED,2026-05-25
ASN00000712,4500000167,00040,0001,S100046,28,2026-05-23,2026-06-24,Supplier Truck,13161346-94D,DELAYED,2026-05-25
ASN00000713,4500000167,00040,0002,S100046,676,,2026-06-14,UPS,BBDE4206-438,NOT_SHIPPED,2026-05-27
